,attendance,away_team_errors,away_team_hits,home_team_errors,home_team_hits,temperature,wind_speed,total_runs,game_hours_dec,home_team_win,home_team_loss,Capacity,Home_Team_WP,Away_Team_WP,Distance_to_CF,Packed_Ratio,WinPerc_Diff,field_type_n,game_type_n,sky_Cloudy,sky_Drizzle,sky_In Dome,sky_Night,sky_Overcast,sky_Rain,sky_Sunny,sky_Unknown,DofWeek_Friday,DofWeek_Monday,DofWeek_Saturday,DofWeek_Sunday,DofWeek_Thursday,DofWeek_Tuesday,DofWeek_Wednesday
1383,39971.0,0,4,0,8,74.0,10.0,6,2.2666666666666666,1,0,49282,0.5316,0.5263,400.0,0.8110669209853496,0.005299999999999971,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1384,11267.0,0,9,3,9,72.0,0.0,9,3.3,0,1,31042,0.4211,0.4103,404.0,0.3629598608337092,0.010799999999999976,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1385,42693.0,0,9,1,12,77.0,5.0,12,3.35,0,1,45529,0.5263,0.4744,400.0,0.9377100309692723,0.0519,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1386,42076.0,0,5,0,9,59.0,15.0,6,2.5166666666666666,1,0,41915,0.6203,0.4805,399.0,1.0,0.13979999999999998,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1387,19211.0,0,7,2,9,92.0,6.0,7,2.9,1,0,43651,0.4304,0.3377,401.0,0.4401044649607111,0.0927,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1388,26191.0,1,7,0,6,92.0,6.0,6,2.6666666666666665,1,0,41922,0.5263,0.5325,408.0,0.6247554983063786,-0.006199999999999983,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1389,41753.0,1,13,0,6,58.0,19.0,10,3.5666666666666664,0,1,41915,0.6203,0.4805,399.0,0.996135035190266,0.13979999999999998,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1390,18426.0,1,6,0,8,88.0,7.0,6,2.1333333333333333,1,0,43651,0.4304,0.3377,401.0,0.4221209136102266,0.0927,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1391,29477.0,0,9,0,4,88.0,8.0,7,2.55,0,1,41922,0.5263,0.5325,408.0,0.7031391632078622,-0.006199999999999983,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1392,16938.0,0,8,1,12,69.0,9.0,15,3.1333333333333333,1,0,38885,0.3289,0.4416,404.0,0.4355921306416356,-0.11269999999999997,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1393,45373.0,0,9,1,6,72.0,9.0,5,3.283333333333333,0,1,56000,0.5443,0.6053,395.0,0.8102321428571428,-0.06099999999999994,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1394,21553.0,1,7,1,7,73.0,0.0,7,2.5666666666666664,1,0,41168,0.5256,0.5065,409.0,0.5235376991838321,0.019100000000000006,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1395,19448.0,0,4,0,13,82.0,4.0,13,3.083333333333333,1,0,35051,0.6053,0.5065,410.0,0.554848649111295,0.0988,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1396,41310.0,0,10,2,7,84.0,8.0,14,3.1333333333333333,0,1,41649,0.6579,0.3718,400.0,0.991860548872722,0.2861,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1397,20773.0,0,20,2,6,86.0,8.0,9,3.1166666666666667,0,1,40615,0.4935,0.4868,400.0,0.5114612827772991,0.006699999999999984,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1398,35964.0,0,11,0,11,74.0,8.0,9,3.35,0,1,37755,0.5454,0.6538,420.0,0.9525625744934446,-0.10840000000000005,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1399,14110.0,0,12,0,10,79.0,0.0,12,2.8666666666666667,1,0,48686,0.45,0.4231,407.0,0.28981637431705215,0.026900000000000035,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1400,29174.0,1,5,1,2,72.0,2.0,1,3.0166666666666666,0,1,41339,0.5897,0.4474,402.0,0.7057258279106897,0.14229999999999998,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1401,36438.0,0,4,0,6,77.0,4.0,8,2.1666666666666665,1,0,49282,0.5316,0.5263,400.0,0.7393774603303437,0.005299999999999971,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1402,14532.0,0,8,1,7,72.0,0.0,6,3.2,1,0,31042,0.4211,0.4103,404.0,0.46813993943689197,0.010799999999999976,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1403,41850.0,0,11,1,10,76.0,5.0,6,2.9,0,1,45529,0.5263,0.4744,400.0,0.9191943596389115,0.0519,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1404,41874.0,1,6,0,5,64.0,11.0,4,2.9333333333333336,1,0,41915,0.6203,0.4805,399.0,0.9990218298938327,0.13979999999999998,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1405,19064.0,1,6,1,12,77.0,10.0,10,2.45,1,0,43651,0.4304,0.3377,401.0,0.436736844516735,0.0927,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1406,30424.0,0,17,2,13,78.0,14.0,14,3.633333333333333,1,0,41922,0.5263,0.5325,408.0,0.7257287343161108,-0.006199999999999983,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1407,23100.0,0,7,1,4,75.0,11.0,4,2.833333333333333,0,1,38885,0.3289,0.4416,404.0,0.594059405940594,-0.11269999999999997,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1408,47378.0,0,8,0,9,72.0,9.0,12,3.2,1,0,56000,0.5443,0.6053,395.0,0.8460357142857143,-0.06099999999999994,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1409,29844.0,0,5,0,8,73.0,0.0,3,2.4333333333333336,1,0,41168,0.5256,0.5065,409.0,0.7249319860085504,0.019100000000000006,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1410,34163.0,0,9,0,8,70.0,3.0,8,3.333333333333333,1,0,35051,0.6053,0.5065,410.0,0.9746654874325982,0.0988,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1411,41293.0,2,9,1,12,73.0,8.0,14,3.0166666666666666,1,0,41649,0.6579,0.3718,400.0,0.9914523758073424,0.2861,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1412,30955.0,3,8,4,13,75.0,3.0,10,3.1,1,0,40615,0.4935,0.4868,400.0,0.7621568386064262,0.006699999999999984,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1413,36253.0,0,16,2,21,84.0,11.0,17,3.6666666666666665,1,0,37755,0.5454,0.6538,420.0,0.9602171897761885,-0.10840000000000005,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1414,39203.0,1,9,0,11,80.0,0.0,12,3.4166666666666665,0,1,48686,0.45,0.4231,407.0,0.8052212134905311,0.026900000000000035,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1415,37328.0,0,3,0,15,75.0,1.0,13,3.1333333333333333,1,0,41339,0.5897,0.3718,402.0,0.9029729795108735,0.21789999999999998,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1416,45962.0,2,5,0,18,68.0,8.0,18,3.1666666666666665,1,0,49282,0.5316,0.6053,400.0,0.9326326041962583,-0.07369999999999999,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1417,13126.0,0,8,0,6,72.0,0.0,6,3.183333333333333,0,1,31042,0.4211,0.5065,404.0,0.42284646607821663,-0.08539999999999998,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1418,41148.0,1,16,0,11,69.0,10.0,17,3.8,1,0,45529,0.5263,0.4474,400.0,0.9037756155417426,0.07889999999999997,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1419,31405.0,1,12,1,10,65.0,1.0,13,2.8833333333333333,1,0,47715,0.5065,0.6053,401.0,0.6581787697788956,-0.0988,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1420,42131.0,0,10,1,8,70.0,8.0,9,3.2,0,1,40209,0.4231,0.4868,396.0,1.0,-0.06370000000000003,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1421,20473.0,0,7,0,11,80.0,5.0,9,2.7,1,0,43651,0.4304,0.5263,401.0,0.46901560101715883,-0.09589999999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1422,21831.0,0,11,0,10,69.0,11.0,9,3.583333333333333,0,1,47170,0.4416,0.4744,400.0,0.462815348738605,-0.032799999999999996,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1423,36137.0,0,11,1,22,80.0,3.0,17,3.283333333333333,1,0,41922,0.5263,0.6579,408.0,0.8620056295024092,-0.13160000000000005,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1424,26942.0,1,8,1,11,77.0,11.0,9,3.066666666666667,1,0,38885,0.3289,0.6538,404.0,0.6928635720714929,-0.3249,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1425,41836.0,0,4,0,7,77.0,6.0,5,2.8666666666666667,1,0,56000,0.5443,0.4805,395.0,0.7470714285714286,0.06380000000000002,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1426,30379.0,0,9,0,3,73.0,0.0,5,2.966666666666667,0,1,41168,0.5256,0.4935,409.0,0.7379275165176836,0.03209999999999996,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1427,36801.0,1,10,0,16,81.0,11.0,15,3.8666666666666663,1,0,37755,0.5454,0.4103,420.0,0.9747318235995233,0.1351,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1428,12582.0,1,13,0,5,81.0,5.0,7,2.9833333333333334,0,1,41084,0.3377,0.5325,400.0,0.3062506085093954,-0.19479999999999997,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1429,26171.0,1,9,0,9,77.0,0.0,9,3.783333333333333,0,1,48686,0.45,0.6203,407.0,0.5375467280121595,-0.17029999999999995,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1430,35195.0,1,14,2,3,80.0,8.0,13,3.583333333333333,0,1,41339,0.5897,0.3718,402.0,0.8513752146883089,0.21789999999999998,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1431,46197.0,1,10,0,12,76.0,11.0,15,3.3166666666666664,1,0,49282,0.5316,0.6053,400.0,0.9374010795016436,-0.07369999999999999,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1432,17861.0,1,5,1,5,72.0,0.0,5,2.8833333333333333,0,1,31042,0.4211,0.5065,404.0,0.5753817408672122,-0.08539999999999998,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1433,40573.0,0,7,0,8,65.0,3.0,3,2.6666666666666665,1,0,45529,0.5263,0.4474,400.0,0.8911463023567396,0.07889999999999997,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1434,29362.0,0,12,1,16,72.0,5.0,18,3.25,1,0,47715,0.5065,0.6053,401.0,0.6153620454783612,-0.0988,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1435,42315.0,0,6,0,7,71.0,7.0,3,2.716666666666667,1,0,40209,0.4231,0.4868,396.0,1.0,-0.06370000000000003,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1436,40331.0,0,10,1,7,78.0,11.0,8,2.783333333333333,0,1,43651,0.4304,0.5263,401.0,0.9239421777278871,-0.09589999999999999,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1437,28846.0,0,9,0,11,64.0,13.0,6,3.3166666666666664,0,1,47170,0.4416,0.4744,400.0,0.6115327538689845,-0.032799999999999996,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1438,41151.0,0,6,1,8,76.0,10.0,7,3.1,1,0,41922,0.5263,0.6579,408.0,0.9816087018749106,-0.13160000000000005,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1439,21466.0,1,10,0,13,76.0,6.0,22,3.1,1,0,38885,0.3289,0.6538,404.0,0.552038060948952,-0.3249,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1440,35116.0,1,13,0,7,73.0,0.0,13,3.15,0,1,41168,0.5256,0.4935,409.0,0.8529926156237855,0.03209999999999996,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1441,36552.0,1,22,4,8,80.0,12.0,23,3.633333333333333,0,1,37755,0.5454,0.4103,420.0,0.9681366706396504,0.1351,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1442,23448.0,1,7,0,9,94.0,11.0,10,2.466666666666667,1,0,41084,0.3377,0.5325,400.0,0.5707331321195599,-0.19479999999999997,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
