,attendance,away_team_errors,away_team_hits,home_team_errors,home_team_hits,temperature,wind_speed,total_runs,game_hours_dec,home_team_win,home_team_loss,Capacity,Home_Team_WP,Away_Team_WP,Distance_to_CF,Packed_Ratio,WinPerc_Diff,field_type_n,game_type_n,sky_Cloudy,sky_Drizzle,sky_In Dome,sky_Night,sky_Overcast,sky_Rain,sky_Sunny,sky_Unknown,DofWeek_Friday,DofWeek_Monday,DofWeek_Saturday,DofWeek_Sunday,DofWeek_Thursday,DofWeek_Tuesday,DofWeek_Wednesday
38,16497.0,0,18,1,0,58.0,13.0,16,2.9333333333333336,0,1,42319,0.3718,0.6579,404.0,0.3898249013445497,-0.2861,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
39,24333.0,0,11,0,14,68.0,0.0,12,3.4,0,1,49282,0.5316,0.4935,400.0,0.49375025364230346,0.03809999999999997,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
40,31453.0,1,10,0,3,82.0,10.0,4,2.7666666666666666,0,1,48114,0.6538,0.4868,400.0,0.6537182524836845,0.16700000000000004,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41,12996.0,0,5,0,5,72.0,0.0,2,2.6166666666666667,1,0,31042,0.4211,0.6053,404.0,0.4186585915855937,-0.18419999999999997,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
42,41266.0,0,11,0,12,59.0,22.0,9,3.783333333333333,1,0,41915,0.6203,0.4231,399.0,0.9845162829535966,0.1972,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
43,14832.0,0,10,0,4,56.0,3.0,5,2.6666666666666665,1,0,47715,0.5065,0.5256,401.0,0.31084564602326314,-0.019100000000000006,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
44,30250.0,0,8,1,10,64.0,8.0,8,3.183333333333333,1,0,41922,0.5263,0.3718,408.0,0.7215781689804875,0.15449999999999997,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45,17503.0,0,12,1,5,50.0,10.0,7,3.4,1,0,38885,0.3289,0.6053,404.0,0.45012215507265013,-0.2763999999999999,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
46,44954.0,1,8,0,7,61.0,17.0,5,2.85,0,1,56000,0.5443,0.5325,395.0,0.80275,0.011800000000000033,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
47,21671.0,0,10,2,12,64.0,12.0,10,2.65,1,0,41299,0.5065,0.4416,420.0,0.5247342550667087,0.06489999999999996,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
